Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
telnet		All	Yes	Block	No	Any	Any	Any	TCP	23	Any	Any	Any	Any	Any	None	Any	
Chrome Remote Desktop Host		All	Yes	Allow	No	C:\Program Files (x86)\Google\Chrome Remote Desktop\141.0.7390.12\remoting_host.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Free Download Manager		Domain	Yes	Allow	No	C:\Program Files\Softdeluxe\Free Download Manager\fdm.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Free Download Manager		Private	Yes	Allow	No	C:\Program Files\Softdeluxe\Free Download Manager\fdm.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Free Download Manager		Public	Yes	Allow	No	C:\Program Files\Softdeluxe\Free Download Manager\fdm.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Free Download Manager		Public	Yes	Allow	No	C:\Program Files\Softdeluxe\Free Download Manager\fdm.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Free Download Manager		Private	Yes	Allow	No	C:\Program Files\Softdeluxe\Free Download Manager\fdm.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Free Download Manager		Domain	Yes	Allow	No	C:\Program Files\Softdeluxe\Free Download Manager\fdm.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Port 3306		All	Yes	Allow	No	Any	Any	Any	TCP	3306	Any	Any	Any	Any	Any	None	Any	
Port 3306		All	Yes	Allow	No	Any	Any	Any	TCP	3306	Any	Any	Any	Any	Any	None	Any	
Port 33060		All	Yes	Allow	No	Any	Any	Any	TCP	33060	Any	Any	Any	Any	Any	None	Any	
Python		Public	Yes	Allow	No	C:\program files\python313\python.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Python		Public	Yes	Allow	No	C:\program files\python313\python.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Allow	No	C:\users\balas\appdata\local\programs\microsoft vs code\code.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Allow	No	C:\users\balas\appdata\local\programs\microsoft vs code\code.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-O52PDG1\balas	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-O52PDG1\balas	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-O52PDG1\balas	None	Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-O52PDG1\balas	None	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
@{MicrosoftWindows.Client.CBS_1000.22700.1055.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.CBS_1000.22700.1055.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-O52PDG1\balas	None	MicrosoftWindows.Client.CBS_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	MicrosoftWindows.LKG.DesktopSpotlight_cw5n1h2txyewy	
Microsoft Teams	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MSTeams_25241.203.3947.4411_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MSTeams_25241.203.3947.4411_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams (personal)	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MicrosoftTeams_25031.702.3408.1909_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams (personal)	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MicrosoftTeams_25031.702.3408.1909_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\SpotifyLauncher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	UDP	57621	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	8443	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	8088	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	8080-8082	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	UDP	8088	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	4381-4390	Any	Any	Any	Any	Any	None	Any	
